"","Point est.","Upper C.I."
"(Intercept)",0.999996895762588,1.00000123103467
"traitexp:tem1.isolate.scaledFALSE",1.00005957739657,1.00022359329362
"traitmic:tem1.isolate.scaledFALSE",0.999982564305009,0.999992880157523
"traitexp:tem1.isolate.copy.number.scaled",1.0000698135085,1.00043096049659
"traitmic:tem1.isolate.copy.number.scaled",1.00000633700841,1.00002345849425
"traitexp:promoter.snvCGGCGA",0.999986476961784,0.999987765473921
"traitmic:promoter.snvCGGCGA",0.999985545494146,0.999998243769411
"traitexp:promoter.snvTGGCGA",1.00005666864066,1.00021322390511
"traitmic:promoter.snvTGGCGA",1.00003358271049,1.00014379084385
"traitexp:promoter.snvTGGCGG",1.00009771300733,1.00026502178134
"traitmic:promoter.snvTGGCGG",0.999989528093795,1.00002686260039
"phylo.542",1.00007071422746,1.00043552174438
"phylo.416",1.00006584820172,1.00009097360996
"phylo.56",1.0000718182699,1.00014625110898
"phylo.213",1.00004577897108,1.00008666460999
"phylo.54",1.00004910685829,1.00007157475545
"phylo.435",1.00001115383898,1.00002961952475
"phylo.90",1.00004581350803,1.00008300757544
"phylo.393",1.00006005871863,1.00008427503991
"phylo.72",1.00005130510724,1.00010455599909
"phylo.489",1.00007617896897,1.00014648520304
"phylo.189",1.00006356156869,1.00012183533614
"phylo.434",1.00002334898417,1.00013307604897
"phylo.194",1.00003331758976,1.00019224992716
"phylo.371",1.00002582161921,1.00017718314153
"phylo.127",1.0000279604046,1.00015760929969
"phylo.99",0.999998229064104,1.00005598920256
"phylo.129",0.999986883634057,1.00000850843324
"phylo.8",1.00001935656998,1.00009304910898
"phylo.414",1.00010284503814,1.00059542935221
"phylo.454",1.00010897225684,1.00060626649716
"phylo.120",1.00008523434279,1.00050743632834
"phylo.145",1.00005557778662,1.00014298621871
"phylo.426",1.00008801975219,1.00044522250872
"phylo.394",1.00008781749372,1.0004637497308
"phylo.183",1.00008741049803,1.00050251867278
"phylo.30",1.00004360241018,1.00027944275319
"phylo.151",1.00009515584277,1.00040592645733
"phylo.148",0.999998304423917,1.00004342689826
"phylo.236",0.999991236327507,1.00001083208142
"phylo.220",1.00001657231432,1.00001806966771
"phylo.117",1.00003038324237,1.00018713503021
"phylo.272",1.00001247087865,1.0000734248544
"phylo.400",1.00002668780092,1.00021133407532
"phylo.328",1.00004378516371,1.00028852388897
"phylo.415",1.00004067934101,1.00028172529636
"phylo.398",1.00003626194701,1.00025283550681
"phylo.252",0.999997736807762,1.00006890263471
"phylo.246",1.00005073344195,1.00013670378024
"phylo.424",1.00010119238133,1.00058404117126
"phylo.476",1.00006293678199,1.00032494697401
"phylo.468",1.00014623553943,1.00071260966143
"phylo.363",1.00013440086552,1.00073956362725
"phylo.21",1.00004391737061,1.00028274073068
"phylo.128",0.999986700871204,0.999991141985315
"phylo.257",1.00012297058289,1.00057993385299
"phylo.242",1.00010590027278,1.00056793800122
"phylo.339",1.00010674314732,1.00053456250353
"phylo.149",1.00009825665573,1.0003176611852
"phylo.445",1.00005361291427,1.00032655430203
"phylo.61",1.00001966754832,1.00013024168703
"phylo.299",1.00002283490263,1.00008922277337
"phylo.420",1.00016667011299,1.00091685365989
"phylo.103",1.00019072898613,1.00098599187922
"phylo.464",1.00007214164285,1.00043495921851
"phylo.449",1.00003839108592,1.00027322442638
"phylo.97",1.00004797024026,1.00032040298382
"phylo.208",1.00006457992024,1.00038357047203
"phylo.329",1.00003510734086,1.00021203402603
"phylo.316",1.00012105817975,1.00068026715799
"phylo.80",1.00007980263154,1.00034222499929
"phylo.438",1.00014703961777,1.00074920892944
"phylo.216",1.00002149979343,1.00013166240436
"phylo.324",1.00004795189531,1.00027667077741
